0729 18:00:43: {, F} heelo
0729 18:31:33: {main, F} heelo
0730 08:35:06: {main, F} heelo
0730 08:35:33: {main, F} heelo
0730 08:40:21: {, F} heelo
0730 08:41:00: {main, F} heelo
0730 08:51:23: {main, W} heelo
0730 08:54:22: {main, W} [Warning]...
0730 08:54:22: {main, T} [Trace]........
0730 08:55:54: {main, W} [Warning]...
0730 08:55:54: {main, T} [Trace]........
0730 08:56:18: {main, W} [Warning]...
0730 08:56:18: {main, T} [Trace]........
0730 16:53:06: {main, T} [Trace]Program Start....
0730 16:53:07: {main, T} [Trace]Program Start....
0730 16:53:08: {main, T} [Trace]Program Start....
0730 16:53:09: {main, T} [Trace]Program Start....
0730 16:53:10: {main, T} [Trace]Program Start....
0730 16:53:11: {main, T} [Trace]Program Start....
0730 16:53:12: {main, T} [Trace]Program Start....
0730 16:53:13: {main, T} [Trace]Program Start....
0730 16:53:14: {main, T} [Trace]Program Start....
0730 19:38:54: {main, T} hello
0730 19:38:54: {main, T} hello
0730 19:38:54: {main, T} hello
0730 19:38:54: {main, T} hello
0730 19:38:54: {main, T} hello
0730 19:38:54: {main, T} hello
0730 19:38:54: {main, T} hello
0730 19:38:54: {main, T} hello
0730 19:38:54: {main, T} hello
0730 19:38:54: {main, T} hello
0730 20:09:50: {main, T} [Trace]Program Start....
0730 20:09:51: {main, T} [Trace]Program Start....
0730 20:09:52: {main, T} [Trace]Program Start....
0730 20:09:53: {main, T} [Trace]Program Start....
0730 20:09:54: {main, T} [Trace]Program Start....
0730 20:09:55: {main, T} [Trace]Program Start....
0730 20:09:56: {main, T} [Trace]Program Start....
0730 20:09:57: {main, T} [Trace]Program Start....
0730 20:09:58: {main, T} [Trace]Program Start....
0730 20:09:59: {main, T} [Trace]Program Start....
0730 20:10:00: {main, T} [Trace]Program Start....
0730 20:10:01: {main, T} [Trace]Program Start....
0730 20:10:02: {main, T} [Trace]Program Start....
0730 20:10:03: {main, T} [Trace]Program Start....
0730 20:10:04: {main, T} [Trace]Program Start....
0730 20:10:05: {main, T} [Trace]Program Start....
0730 20:10:06: {main, T} [Trace]Program Start....
0730 20:10:07: {main, T} [Trace]Program Start....
0730 20:10:08: {main, T} [Trace]Program Start....
0730 20:10:09: {main, T} [Trace]Program Start....
0730 20:10:10: {main, T} [Trace]Program Start....
0730 20:10:11: {main, T} [Trace]Program Start....
0730 20:10:12: {main, T} [Trace]Program Start....
0730 20:10:13: {main, T} [Trace]Program Start....
0730 20:10:14: {main, T} [Trace]Program Start....
0730 20:10:15: {main, T} [Trace]Program Start....
0730 20:10:16: {main, T} [Trace]Program Start....
0730 20:10:17: {main, T} [Trace]Program Start....
0730 20:10:18: {main, T} [Trace]Program Start....
0730 20:10:19: {main, T} [Trace]Program Start....
0730 20:10:20: {main, T} [Trace]Program Start....
0730 20:10:21: {main, T} [Trace]Program Start....
0730 20:10:22: {main, T} [Trace]Program Start....
0730 20:10:23: {main, T} [Trace]Program Start....
0730 20:10:24: {main, T} [Trace]Program Start....
0730 20:10:25: {main, T} [Trace]Program Start....
0730 20:10:26: {main, T} [Trace]Program Start....
0730 20:10:27: {main, T} [Trace]Program Start....
0730 20:10:28: {main, T} [Trace]Program Start....
0730 20:10:29: {main, T} [Trace]Program Start....
0730 20:10:30: {main, T} [Trace]Program Start....
0730 20:10:31: {main, T} [Trace]Program Start....
0730 20:10:32: {main, T} [Trace]Program Start....
0730 20:10:33: {main, T} [Trace]Program Start....
0730 20:10:34: {main, T} [Trace]Program Start....
0730 20:10:35: {main, T} [Trace]Program Start....
0730 20:10:36: {main, T} [Trace]Program Start....
0730 20:10:37: {main, T} [Trace]Program Start....
0730 20:10:38: {main, T} [Trace]Program Start....
0730 20:11:31: {main, T} [Trace]Program Start....
0730 20:11:32: {main, T} [Trace]Program Start....
0730 20:11:33: {main, T} [Trace]Program Start....
0730 20:11:34: {main, T} [Trace]Program Start....
0730 20:11:35: {main, T} [Trace]Program Start....
0730 20:11:36: {main, T} [Trace]Program Start....
0730 20:11:37: {main, T} [Trace]Program Start....
0730 20:11:38: {main, T} [Trace]Program Start....
0730 20:11:39: {main, T} [Trace]Program Start....
0730 20:11:40: {main, T} [Trace]Program Start....
0730 20:11:41: {main, T} [Trace]Program Start....
0730 20:11:42: {main, T} [Trace]Program Start....
0730 20:11:43: {main, T} [Trace]Program Start....
0730 20:11:44: {main, T} [Trace]Program Start....
0730 20:11:45: {main, T} [Trace]Program Start....
0730 20:11:46: {main, T} [Trace]Program Start....
0730 20:11:47: {main, T} [Trace]Program Start....
0730 20:11:48: {main, T} [Trace]Program Start....
0730 20:11:49: {main, T} [Trace]Program Start....
0730 20:12:10: {main, T} [Trace]Program Start....
0730 20:12:11: {main, T} [Trace]Program Start....
0730 20:12:12: {main, T} [Trace]Program Start....
0730 20:12:13: {main, T} [Trace]Program Start....
0730 20:12:14: {main, T} [Trace]Program Start....
0730 20:12:15: {main, T} [Trace]Program Start....
0730 20:12:16: {main, T} [Trace]Program Start....
0730 20:12:17: {main, T} [Trace]Program Start....
0730 20:12:18: {main, T} [Trace]Program Start....
0730 20:12:19: {main, T} [Trace]Program Start....
0730 20:12:20: {main, T} [Trace]Program Start....
0730 20:12:21: {main, T} [Trace]Program Start....
0730 20:12:22: {main, T} [Trace]Program Start....
0730 20:12:23: {main, T} [Trace]Program Start....
0730 20:12:24: {main, T} [Trace]Program Start....
0730 20:12:25: {main, T} [Trace]Program Start....
0730 20:12:26: {main, T} [Trace]Program Start....
0730 20:12:27: {main, T} [Trace]Program Start....
0730 20:12:28: {main, T} [Trace]Program Start....
0730 20:12:29: {main, T} [Trace]Program Start....
0730 20:12:30: {main, T} [Trace]Program Start....
0730 20:12:31: {main, T} [Trace]Program Start....
0730 20:12:32: {main, T} [Trace]Program Start....
0730 20:12:33: {main, T} [Trace]Program Start....
0730 20:12:34: {main, T} [Trace]Program Start....
0730 20:12:35: {main, T} [Trace]Program Start....
0730 20:12:36: {main, T} [Trace]Program Start....
0730 20:12:37: {main, T} [Trace]Program Start....
0730 20:12:38: {main, T} [Trace]Program Start....
0730 20:12:39: {main, T} [Trace]Program Start....
0730 20:12:40: {main, T} [Trace]Program Start....
0730 20:12:41: {main, T} [Trace]Program Start....
0730 20:12:42: {main, T} [Trace]Program Start....
0730 20:12:43: {main, T} [Trace]Program Start....
0730 20:12:44: {main, T} [Trace]Program Start....
0730 20:12:45: {main, T} [Trace]Program Start....
0730 20:12:46: {main, T} [Trace]Program Start....
0730 20:12:47: {main, T} [Trace]Program Start....
0730 20:12:48: {main, T} [Trace]Program Start....
0730 20:12:49: {main, T} [Trace]Program Start....
0730 20:12:50: {main, T} [Trace]Program Start....
0730 20:12:51: {main, T} [Trace]Program Start....
0730 20:12:52: {main, T} [Trace]Program Start....
0730 20:12:53: {main, T} [Trace]Program Start....
0730 20:12:54: {main, T} [Trace]Program Start....
0730 20:12:55: {main, T} [Trace]Program Start....
0730 20:12:56: {main, T} [Trace]Program Start....
0730 20:12:57: {main, T} [Trace]Program Start....
0730 20:12:58: {main, T} [Trace]Program Start....
0730 20:12:59: {main, T} [Trace]Program Start....
0730 20:13:00: {main, T} [Trace]Program Start....
0730 20:13:01: {main, T} [Trace]Program Start....
0730 20:13:02: {main, T} [Trace]Program Start....
0730 20:13:03: {main, T} [Trace]Program Start....
0730 20:13:04: {main, T} [Trace]Program Start....
0730 20:13:05: {main, T} [Trace]Program Start....
0730 20:13:06: {main, T} [Trace]Program Start....
0730 20:13:07: {main, T} [Trace]Program Start....
0730 20:13:08: {main, T} [Trace]Program Start....
0730 20:13:09: {main, T} [Trace]Program Start....
0730 20:13:10: {main, T} [Trace]Program Start....
0730 20:13:11: {main, T} [Trace]Program Start....
0730 20:13:12: {main, T} [Trace]Program Start....
0730 20:13:13: {main, T} [Trace]Program Start....
0730 20:13:14: {main, T} [Trace]Program Start....
0730 20:13:15: {main, T} [Trace]Program Start....
0730 20:13:16: {main, T} [Trace]Program Start....
0730 20:13:17: {main, T} [Trace]Program Start....
0730 20:13:18: {main, T} [Trace]Program Start....
0730 20:13:19: {main, T} [Trace]Program Start....
0730 20:13:20: {main, T} [Trace]Program Start....
0730 20:13:21: {main, T} [Trace]Program Start....
0730 20:13:22: {main, T} [Trace]Program Start....
0730 20:13:23: {main, T} [Trace]Program Start....
0730 20:13:24: {main, T} [Trace]Program Start....
0730 20:13:25: {main, T} [Trace]Program Start....
0730 20:13:26: {main, T} [Trace]Program Start....
0730 20:13:27: {main, T} [Trace]Program Start....
